APIB_IND,COUNTY_CODE,COUNTY_NAME,tested_student_cnt,tested_cnt_valid,proficiency_cnt_valid,high_score_cnt_valid,is_suppressed,proficiency_rate,high_score_rate,valid_coverage,record_count
AP,45.0,ORLEANS,205,196,119.0,53.0,5,0.6071428571428571,0.27040816326530615,0.9560975609756097,17
AP,46.0,OSWEGO,459,430,319.0,168.0,13,0.7418604651162791,0.39069767441860465,0.9368191721132898,30
AP,47.0,OTSEGO,119,112,81.0,47.0,6,0.7232142857142857,0.41964285714285715,0.9411764705882353,12
AP,48.0,PUTNAM,1511,1475,1076.0,679.0,18,0.7294915254237289,0.4603389830508475,0.9761747187293184,63
AP,49.0,RENSSELAER,1079,1037,699.0,425.0,18,0.6740597878495661,0.4098360655737705,0.9610750695088045,44
AP,5.0,CAYUGA,427,409,282.0,167.0,10,0.6894865525672371,0.4083129584352078,0.9578454332552693,24
AP,50.0,ROCKLAND,4690,4660,3686.0,2455.0,18,0.7909871244635193,0.526824034334764,0.9936034115138592,90
AP,51.0,SAINT LAWRENCE,274,257,220.0,114.0,9,0.8560311284046692,0.44357976653696496,0.9379562043795621,21
AP,52.0,SARATOGA,2747,2715,2293.0,1573.0,19,0.8445672191528545,0.5793738489871086,0.9883509282854023,60
AP,53.0,SCHENECTADY,1145,1098,918.0,624.0,29,0.8360655737704918,0.5683060109289617,0.9589519650655022,64
AP,54.0,SCHOHARIE,155,145,114.0,73.0,5,0.7862068965517242,0.503448275862069,0.9354838709677419,14
AP,55.0,SCHUYLER,39,33,20.0,11.0,3,0.6060606060606061,0.3333333333333333,0.8461538461538461,5
AP,56.0,SENECA,62,52,37.0,20.0,6,0.7115384615384616,0.38461538461538464,0.8387096774193549,10
AP,57.0,STEUBEN,370,350,238.0,131.0,9,0.68,0.3742857142857143,0.9459459459459459,22
AP,58.0,SUFFOLK,37700,37591,28555.0,17012.0,53,0.7596233140911388,0.4525551328775505,0.9971087533156499,157
AP,59.0,SULLIVAN,192,164,80.0,34.0,14,0.4878048780487805,0.2073170731707317,0.8541666666666666,20
AP,6.0,CHAUTAUQUA,748,727,540.0,337.0,14,0.7427785419532325,0.46354883081155435,0.9719251336898396,41
AP,60.0,TIOGA,68,52,29.0,11.0,6,0.5576923076923077,0.21153846153846154,0.7647058823529411,10
AP,61.0,TOMPKINS,1159,1128,981.0,788.0,20,0.8696808510638298,0.6985815602836879,0.9732528041415013,53
AP,62.0,ULSTER,1505,1462,1060.0,625.0,21,0.7250341997264022,0.4274965800273598,0.9714285714285714,59
AP,63.0,WARREN,425,406,320.0,197.0,11,0.7881773399014779,0.4852216748768473,0.9552941176470588,25
AP,64.0,WASHINGTON,241,217,146.0,82.0,11,0.6728110599078341,0.3778801843317972,0.9004149377593361,22
AP,65.0,WAYNE,398,369,275.0,143.0,12,0.7452574525745257,0.3875338753387534,0.9271356783919598,24
AP,66.0,WESTCHESTER,24879,24820,19317.0,13340.0,27,0.7782836422240129,0.5374697824335214,0.997628522046706,131
AP,67.0,WYOMING,135,113,64.0,29.0,7,0.5663716814159292,0.25663716814159293,0.837037037037037,16
AP,68.0,YATES,52,51,37.0,10.0,1,0.7254901960784313,0.19607843137254902,0.9807692307692307,4
AP,7.0,CHEMUNG,157,146,146.0,97.0,8,1.0,0.6643835616438356,0.9299363057324841,14
AP,8.0,CHENANGO,170,152,111.0,71.0,7,0.7302631578947368,0.46710526315789475,0.8941176470588236,15
AP,9.0,CLINTON,499,471,312.0,177.0,12,0.6624203821656051,0.37579617834394907,0.9438877755511023,30
IB,1.0,ALBANY,14,6,4.0,3.0,5,0.6666666666666666,0.5,0.42857142857142855,6
IB,13.0,DUTCHESS,154,126,115.0,73.0,15,0.9126984126984127,0.5793650793650794,0.8181818181818182,26
IB,14.0,ERIE,545,527,371.0,181.0,7,0.7039848197343453,0.34345351043643263,0.9669724770642202,25
IB,19.0,GREENE,64,55,35.0,9.0,6,0.6363636363636364,0.16363636363636364,0.859375,12
IB,26.0,MONROE,580,541,356.0,142.0,10,0.6580406654343808,0.26247689463955637,0.9327586206896552,33
