APIB_IND,aggregation_index,aggregation_code,aggregation_name,NRC_CODE,NRC_DESC,COUNTY_CODE,COUNTY_NAME,NYC_IND,tested_student_cnt,tested_cnt_valid,proficiency_cnt_valid,high_score_cnt_valid,is_suppressed,proficiency_rate,high_score_rate,valid_coverage,resource_class
AP,3,421001060000,FAYETTVLLE-MANLIUS,6.0,LOW NEEDS,42.0,ONONDAGA,0.0,750,715,669.0,536.0,24,0.9356643356643357,0.7496503496503496,0.9533333333333334,低N/RC
AP,3,421101060000,MARCELLUS,5.0,AVERAGE NEEDS,42.0,ONONDAGA,0.0,139,122,93.0,51.0,10,0.7622950819672131,0.4180327868852459,0.8776978417266187,平均
AP,3,421201040000,ONONDAGA,5.0,AVERAGE NEEDS,42.0,ONONDAGA,0.0,58,53,28.0,17.0,2,0.5283018867924528,0.32075471698113206,0.9137931034482759,平均
AP,3,421501060000,LIVERPOOL,5.0,AVERAGE NEEDS,42.0,ONONDAGA,0.0,448,428,365.0,255.0,11,0.852803738317757,0.5957943925233645,0.9553571428571429,平均
AP,3,421601060000,SKANEATELES,6.0,LOW NEEDS,42.0,ONONDAGA,0.0,304,284,238.0,176.0,11,0.8380281690140845,0.6197183098591549,0.9342105263157895,低N/RC
AP,3,421902040000,TULLY,5.0,AVERAGE NEEDS,42.0,ONONDAGA,0.0,31,28,25.0,20.0,2,0.8928571428571429,0.7142857142857143,0.9032258064516129,平均
AP,3,42302040000,CATTARAUGUS,5.0,AVERAGE NEEDS,4.0,CATTARAUGUS,0.0,6,6,3.0,2.0,0,0.5,0.3333333333333333,1.0,平均
AP,3,42801060000,GOWANDA,4.0,RURAL HIGH NEEDS,4.0,CATTARAUGUS,0.0,37,36,16.0,9.0,1,0.4444444444444444,0.25,0.972972972972973,农村
AP,3,430300050000,CANANDAIGUA,5.0,AVERAGE NEEDS,43.0,ONTARIO,0.0,498,476,358.0,194.0,10,0.7521008403361344,0.40756302521008403,0.9558232931726908,平均
AP,3,430501040000,EAST BLOOMFIELD,5.0,AVERAGE NEEDS,43.0,ONTARIO,0.0,71,63,36.0,22.0,3,0.5714285714285714,0.3492063492063492,0.8873239436619719,平均
AP,3,430700010000,GENEVA,4.0,RURAL HIGH NEEDS,43.0,ONTARIO,0.0,263,229,142.0,91.0,14,0.6200873362445415,0.39737991266375544,0.870722433460076,农村
AP,3,430901060000,GORHAM-MIDDLESEX,5.0,AVERAGE NEEDS,43.0,ONTARIO,0.0,53,48,41.0,16.0,3,0.8541666666666666,0.3333333333333333,0.9056603773584906,平均
AP,3,431101040000,MANCHSTR-SHRTSVLLE,5.0,AVERAGE NEEDS,43.0,ONTARIO,0.0,44,33,27.0,17.0,6,0.8181818181818182,0.5151515151515151,0.75,平均
AP,3,431201040000,NAPLES,5.0,AVERAGE NEEDS,43.0,ONTARIO,0.0,67,67,43.0,28.0,0,0.6417910447761194,0.417910447761194,1.0,平均
AP,3,431301060000,PHELPS-CLIFTON SPRINGS,5.0,AVERAGE NEEDS,43.0,ONTARIO,0.0,49,39,29.0,15.0,6,0.7435897435897436,0.38461538461538464,0.7959183673469388,平均
AP,3,431701060000,VICTOR,5.0,AVERAGE NEEDS,43.0,ONTARIO,0.0,1167,1149,937.0,634.0,8,0.8154917319408181,0.5517841601392516,0.9845758354755784,平均
AP,3,43200050000,SALAMANCA,4.0,RURAL HIGH NEEDS,4.0,CATTARAUGUS,0.0,16,14,14.0,3.0,2,1.0,0.21428571428571427,0.875,农村
AP,3,43501060000,YORKSHIRE-PIONEER,4.0,RURAL HIGH NEEDS,4.0,CATTARAUGUS,0.0,171,157,110.0,54.0,6,0.7006369426751592,0.34394904458598724,0.9181286549707602,农村
AP,3,440102060000,WASHINGTONVILLE,5.0,AVERAGE NEEDS,44.0,ORANGE,0.0,88,88,62.0,44.0,0,0.7045454545454546,0.5,1.0,平均
AP,3,440201020000,CHESTER,5.0,AVERAGE NEEDS,44.0,ORANGE,0.0,28,25,14.0,5.0,1,0.56,0.2,0.8928571428571429,平均
AP,3,440301060000,CORNWALL,5.0,AVERAGE NEEDS,44.0,ORANGE,0.0,393,384,314.0,213.0,5,0.8177083333333334,0.5546875,0.9770992366412213,平均
AP,3,440401060000,PINE BUSH,5.0,AVERAGE NEEDS,44.0,ORANGE,0.0,321,294,210.0,125.0,13,0.7142857142857143,0.42517006802721086,0.9158878504672897,平均
AP,3,440601040000,GOSHEN,5.0,AVERAGE NEEDS,44.0,ORANGE,0.0,230,225,169.0,113.0,3,0.7511111111111111,0.5022222222222222,0.9782608695652174,平均
AP,3,441101040000,MINISINK VALLEY,5.0,AVERAGE NEEDS,44.0,ORANGE,0.0,72,59,47.0,30.0,6,0.7966101694915254,0.5084745762711864,0.8194444444444444,平均
AP,3,441201060000,MONROE WOODBURY,5.0,AVERAGE NEEDS,44.0,ORANGE,0.0,460,455,333.0,188.0,4,0.7318681318681318,0.41318681318681316,0.9891304347826086,平均
AP,3,441301060000,VALLEY (MONTGOMER),5.0,AVERAGE NEEDS,44.0,ORANGE,0.0,288,270,192.0,101.0,10,0.7111111111111111,0.37407407407407406,0.9375,平均
AP,3,441600010000,NEWBURGH,3.0,URBAN/SUBURBAN/HIGH NEEDS,44.0,ORANGE,0.0,813,750,245.0,115.0,25,0.32666666666666666,0.15333333333333332,0.922509225092251,城市-郊区
AP,3,441903020000,TUXEDO,6.0,LOW NEEDS,44.0,ORANGE,0.0,45,11,8.0,4.0,12,0.7272727272727273,0.36363636363636365,0.24444444444444444,低N/RC
AP,3,442101060000,WARWICK VALLEY,6.0,LOW NEEDS,44.0,ORANGE,0.0,661,632,543.0,379.0,12,0.8591772151898734,0.5996835443037974,0.9561270801815431,低N/RC
AP,3,450101060000,ALBION,4.0,RURAL HIGH NEEDS,45.0,ORLEANS,0.0,28,16,10.0,5.0,5,0.625,0.3125,0.5714285714285714,农村
AP,3,450607040000,KENDALL,5.0,AVERAGE NEEDS,45.0,ORLEANS,0.0,55,53,34.0,17.0,1,0.6415094339622641,0.32075471698113206,0.9636363636363636,平均
AP,3,450801060000,MEDINA,4.0,RURAL HIGH NEEDS,45.0,ORLEANS,0.0,122,118,70.0,28.0,3,0.5932203389830508,0.23728813559322035,0.9672131147540983,农村
AP,3,460102040000,ALTMAR-PARISH-WILLIAMSTOWN,4.0,RURAL HIGH NEEDS,46.0,OSWEGO,0.0,12,12,3.0,0.0,0,0.25,0.0,1.0,农村
AP,3,460500010000,FULTON,3.0,URBAN/SUBURBAN/HIGH NEEDS,46.0,OSWEGO,0.0,77,71,48.0,23.0,2,0.676056338028169,0.323943661971831,0.922077922077922,城市-郊区
AP,3,460701040000,HANNIBAL,4.0,RURAL HIGH NEEDS,46.0,OSWEGO,0.0,18,9,7.0,1.0,3,0.7777777777777778,0.1111111111111111,0.5,农村
AP,3,460801060000,CENTRAL SQUARE,5.0,AVERAGE NEEDS,46.0,OSWEGO,0.0,116,107,91.0,57.0,5,0.8504672897196262,0.5327102803738317,0.9224137931034483,平均
AP,3,461300010000,OSWEGO,5.0,AVERAGE NEEDS,46.0,OSWEGO,0.0,168,153,123.0,71.0,6,0.803921568627451,0.46405228758169936,0.9107142857142857,平均
AP,3,461801040000,PULASKI,4.0,RURAL HIGH NEEDS,46.0,OSWEGO,0.0,42,35,19.0,7.0,3,0.5428571428571428,0.2,0.8333333333333334,农村
AP,3,462001060000,PHOENIX,5.0,AVERAGE NEEDS,46.0,OSWEGO,0.0,26,25,17.0,1.0,1,0.68,0.04,0.9615384615384616,平均
AP,3,471701040000,COOPERSTOWN,5.0,AVERAGE NEEDS,47.0,OTSEGO,0.0,104,95,72.0,43.0,7,0.7578947368421053,0.45263157894736844,0.9134615384615384,平均
AP,3,472202040000,CHERRY VLY-SPRGFLD,5.0,AVERAGE NEEDS,47.0,OTSEGO,0.0,15,15,7.0,4.0,0,0.4666666666666667,0.26666666666666666,1.0,平均
AP,3,480101060000,MAHOPAC,6.0,LOW NEEDS,48.0,PUTNAM,0.0,213,187,146.0,103.0,15,0.7807486631016043,0.5508021390374331,0.8779342723004695,低N/RC
AP,3,480102060000,CARMEL,5.0,AVERAGE NEEDS,48.0,PUTNAM,0.0,410,384,278.0,166.0,10,0.7239583333333334,0.4322916666666667,0.9365853658536586,平均
AP,3,480401040000,HALDANE,6.0,LOW NEEDS,48.0,PUTNAM,0.0,296,280,235.0,174.0,10,0.8392857142857143,0.6214285714285714,0.9459459459459459,低N/RC
AP,3,480503040000,PUTNAM VALLEY,6.0,LOW NEEDS,48.0,PUTNAM,0.0,113,105,40.0,15.0,3,0.38095238095238093,0.14285714285714285,0.9292035398230089,低N/RC
AP,3,480601060000,BREWSTER,6.0,LOW NEEDS,48.0,PUTNAM,0.0,479,459,328.0,191.0,10,0.7145969498910676,0.41612200435729846,0.9582463465553236,低N/RC
AP,3,490101040000,BERLIN,5.0,AVERAGE NEEDS,49.0,RENSSELAER,0.0,15,9,7.0,1.0,3,0.7777777777777778,0.1111111111111111,0.6,平均
AP,3,490301060000,EAST GREENBUSH,5.0,AVERAGE NEEDS,49.0,RENSSELAER,0.0,309,293,254.0,186.0,7,0.8668941979522184,0.6348122866894198,0.948220064724919,平均
AP,3,490501060000,HOOSICK FALLS,5.0,AVERAGE NEEDS,49.0,RENSSELAER,0.0,49,36,26.0,13.0,6,0.7222222222222222,0.3611111111111111,0.7346938775510204,平均
AP,3,491302060000,AVERILL PARK,5.0,AVERAGE NEEDS,49.0,RENSSELAER,0.0,233,219,183.0,114.0,6,0.8356164383561644,0.5205479452054794,0.9399141630901288,平均
AP,3,491401040000,HOOSIC VALLEY,5.0,AVERAGE NEEDS,49.0,RENSSELAER,0.0,32,32,10.0,3.0,0,0.3125,0.09375,1.0,平均
AP,3,491501040000,SCHODACK,5.0,AVERAGE NEEDS,49.0,RENSSELAER,0.0,173,165,101.0,46.0,7,0.6121212121212121,0.2787878787878788,0.953757225433526,平均
AP,3,491700010000,TROY,3.0,URBAN/SUBURBAN/HIGH NEEDS,49.0,RENSSELAER,0.0,79,60,44.0,27.0,7,0.7333333333333333,0.45,0.759493670886076,城市-郊区
AP,3,500101060000,CLARKSTOWN,6.0,LOW NEEDS,50.0,ROCKLAND,0.0,1145,1111,967.0,717.0,16,0.8703870387038704,0.6453645364536453,0.9703056768558952,低N/RC
AP,3,500108030000,NANUET,6.0,LOW NEEDS,50.0,ROCKLAND,0.0,373,363,301.0,182.0,8,0.8292011019283747,0.5013774104683195,0.9731903485254692,低N/RC
AP,3,500201060000,HAVERSTRAW-STONY POINT,5.0,AVERAGE NEEDS,50.0,ROCKLAND,0.0,558,540,393.0,181.0,10,0.7277777777777777,0.3351851851851852,0.967741935483871,平均
AP,3,500301060000,SOUTH ORANGETOWN,6.0,LOW NEEDS,50.0,ROCKLAND,0.0,572,531,391.0,245.0,24,0.736346516007533,0.4613935969868173,0.9283216783216783,低N/RC
AP,3,500304030000,NYACK,5.0,AVERAGE NEEDS,50.0,ROCKLAND,0.0,599,559,474.0,353.0,19,0.8479427549194991,0.631484794275492,0.9332220367278798,平均
AP,3,500308030000,PEARL RIVER,6.0,LOW NEEDS,50.0,ROCKLAND,0.0,312,301,260.0,201.0,6,0.8637873754152824,0.6677740863787376,0.9647435897435898,低N/RC
AP,3,500401060000,SUFFERN,6.0,LOW NEEDS,50.0,ROCKLAND,0.0,765,742,627.0,426.0,13,0.8450134770889488,0.5741239892183289,0.9699346405228758,低N/RC
AP,3,500402060000,EAST RAMAPO,3.0,URBAN/SUBURBAN/HIGH NEEDS,50.0,ROCKLAND,0.0,366,344,153.0,68.0,8,0.44476744186046513,0.19767441860465115,0.9398907103825137,城市-郊区
AP,3,50100010000,AUBURN,3.0,URBAN/SUBURBAN/HIGH NEEDS,5.0,CAYUGA,0.0,226,218,160.0,103.0,4,0.7339449541284404,0.4724770642201835,0.9646017699115044,城市-郊区
AP,3,50301040000,WEEDSPORT,5.0,AVERAGE NEEDS,5.0,CAYUGA,0.0,13,10,8.0,2.0,3,0.8,0.2,0.7692307692307693,平均
AP,3,50401040000,CATO MERIDIAN,5.0,AVERAGE NEEDS,5.0,CAYUGA,0.0,23,17,17.0,12.0,2,1.0,0.7058823529411765,0.7391304347826086,平均
AP,3,510101040000,BRASHER FALLS,4.0,RURAL HIGH NEEDS,51.0,SAINT LAWRENCE,0.0,2,0,0.0,0.0,1,,,0.0,农村
AP,3,510201060000,CANTON,5.0,AVERAGE NEEDS,51.0,SAINT LAWRENCE,0.0,134,115,108.0,58.0,8,0.9391304347826087,0.5043478260869565,0.8582089552238806,平均
